Дата,Время,Вес,Процент жира в организме,Жировая масса тела,Процент обезжиренности,Безжировая масса,Процент скелетных мышц,Масса скелетной мускулатуры,Процент мышечной массы,Мышечная масса,Костная масса,Общая вода в организме,Базовая скорость метаболизма
2026.04.22 11:11:22,11:11:22,"57.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
2026.04.30 13:06:45,13:06:45,"56.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
